period,product_name,total_cost,avg_quarterly,avg_diff,avg_change,sale_performance
2010-Q4,10 Colour Spaceboy Pen,509.97,1087.85,-577.88,Below Avg,First quarter
2011-Q1,10 Colour Spaceboy Pen,769.96,1087.85,-317.89,Below Avg,Increased
2011-Q2,10 Colour Spaceboy Pen,1295.1,1087.85,207.25,Above Avg,Increased
2011-Q3,10 Colour Spaceboy Pen,1341.87,1087.85,254.02,Above Avg,Increased
2011-Q4,10 Colour Spaceboy Pen,1522.35,1087.85,434.5,Above Avg,Increased
2010-Q4,12 Coloured Party Balloons,40.93,277.1,-236.17,Below Avg,First quarter
2011-Q1,12 Coloured Party Balloons,248.25,277.1,-28.85,Below Avg,Increased
2011-Q2,12 Coloured Party Balloons,433.75,277.1,156.65,Above Avg,Increased
2011-Q3,12 Coloured Party Balloons,336.43,277.1,59.33,Above Avg,Decreased
2011-Q4,12 Coloured Party Balloons,326.15,277.1,49.05,Above Avg,Decreased
2010-Q4,12 Egg House Painted Wood,254.91,473.15,-218.24,Below Avg,First quarter
2011-Q1,12 Egg House Painted Wood,759.06,473.15,285.91,Above Avg,Increased
2011-Q2,12 Egg House Painted Wood,379.26,473.15,-93.89,Below Avg,Decreased
2011-Q3,12 Egg House Painted Wood,328.8,473.15,-144.35,Below Avg,Decreased
2011-Q4,12 Egg House Painted Wood,643.74,473.15,170.59,Above Avg,Increased
2011-Q4,12 Hanging Eggs Hand Painted,83.2,83.2,0,Avg,First quarter
2010-Q4,12 Message Cards With Envelopes,372.03,589.24,-217.21,Below Avg,First quarter
2011-Q1,12 Message Cards With Envelopes,451.94,589.24,-137.3,Below Avg,Increased
2011-Q2,12 Message Cards With Envelopes,717.02,589.24,127.78,Above Avg,Increased
2011-Q3,12 Message Cards With Envelopes,570.2,589.24,-19.04,Below Avg,Decreased
2011-Q4,12 Message Cards With Envelopes,835.03,589.24,245.79,Above Avg,Increased
2010-Q4,12 Pencils Small Tube Skull,265.03,832.69,-567.66,Below Avg,First quarter
2011-Q1,12 Pencils Small Tube Skull,948.9,832.69,116.21,Above Avg,Increased
2011-Q2,12 Pencils Small Tube Skull,1233.85,832.69,401.16,Above Avg,Increased
2011-Q3,12 Pencils Small Tube Skull,871.7,832.69,39.01,Above Avg,Decreased
2011-Q4,12 Pencils Small Tube Skull,843.95,832.69,11.26,Above Avg,Decreased
2010-Q4,12 Pencils Tall Tube Red Retrospot,124.1,473.77,-349.67,Below Avg,First quarter
2011-Q1,12 Pencils Tall Tube Red Retrospot,357.85,473.77,-115.92,Below Avg,Increased
2011-Q2,12 Pencils Tall Tube Red Retrospot,347.65,473.77,-126.12,Below Avg,Decreased
2011-Q3,12 Pencils Tall Tube Red Retrospot,746.45,473.77,272.68,Above Avg,Increased
2011-Q4,12 Pencils Tall Tube Red Retrospot,792.81,473.77,319.04,Above Avg,Increased
2010-Q4,12 Pencils Tall Tube Skulls,120.7,375.45,-254.75,Below Avg,First quarter
2011-Q1,12 Pencils Tall Tube Skulls,164.9,375.45,-210.55,Below Avg,Increased
2011-Q2,12 Pencils Tall Tube Skulls,227.8,375.45,-147.65,Below Avg,Increased
