product_name,total_cost,percentage
You'Re Confusing Me Metal Sign,7272.55,0.07 %
Alarm Clock Bakelike Ivory,11565.90,0.12 %
36 Foil Heart Cake Cases,3788.99,0.04 %
Woodland Large Red Felt Heart,279.72,0 %
Silver Rococo Candle Stick,303.45,0 %
Small Red Retrospot Windmill,3748.18,0.04 %
Paperweight Vintage Collage,726.68,0.01 %
Zinc Plant Pot Holder,780.91,0.01 %
6 Gift Tags 50'S Christmas,3379.60,0.03 %
Apothecary Measuring Jar,813.78,0.01 %
Mini Playing Cards Gymkhana,1118.80,0.01 %
Embroidered Ribbon Reel Rebecca,996.38,0.01 %
Lampshade,28.90,0 %
Assorted Tutti Frutti Fob Notebook,633.83,0.01 %
Hanging Heart Bonheur,534.50,0.01 %
Vintage Jingle Bells Wreath,635.38,0.01 %
White With Metal Bag Charm,14.85,0 %
Box Of Vintage Alphabet Blocks,13819.76,0.14 %
Small Apothecary Measuring Jar,629.05,0.01 %
Danish Rose Deluxe Coaster,396.95,0 %
Party Invites Jazz Hearts,468.51,0 %
Noel Wooden Block Letters,2153.75,0.02 %
Five Heart Hanging Decoration,1520.97,0.02 %
Hot Water Bottle,8939.41,0.09 %
Boom Box Speaker Girls,1160.58,0.01 %
Multicolour 3D Balls Garland,626.19,0.01 %
Kids Cutlery Dolly Girl,6853.31,0.07 %
Necklace+Bracelet Pink Butterfly,58.65,0 %
Sleeping Cat Erasers,1035.33,0.01 %
Vintage Red Teatime Mug,474.77,0 %
Retrospot Large Milk Jug,6533.52,0.07 %
3 Pink Hen+Chicks In Basket,15.00,0 %
Small Pink Bowl,3369.50,0.03 %
S/2 Beach Hut Treasure Chests,9.95,0 %
Chrysanthemum Notebook,282.49,0 %
Party Invites Balloon Girl,369.49,0 %
Place Setting White Heart,6030.49,0.06 %
Disco Handbag,518.32,0.01 %
Blue Paisley Pocket Book,271.17,0 %
Small Red Retrospot Mug In Box,2036.61,0.02 %
Feltcraft Girl Amelie Kit,5452.84,0.06 %
Red Refectory Clock,2511.59,0.03 %
Egg Cup Henrietta Hen Cream,786.27,0.01 %
White Moroccan Metal Lantern,8279.55,0.08 %
Decorative Cats Bathroom Bottle,1151.15,0.01 %
Easter Decoration Natural Chick,363.55,0 %
Round Container Set Of 5 Retrospot,2653.64,0.03 %
Set Of 6 T-Lights Toadstools,2417.73,0.02 %
Number Tile Vintage Font 7,146.43,0 %
Gymkhanna Treasure Book Box,3994.12,0.04 %
Set 10 Cards Rudolphs Nose 17097,11.64,0 %
Mini Rose Candle In Bowl,1140.78,0.01 %
Set/9 Christmas T-Lights Scented,30.00,0 %
6 Ribbons Shimmering Pinks,1219.87,0.01 %
Card Psychedelic Apples,1118.84,0.01 %
Blue Harmonica In Box,10309.81,0.11 %
Foxglove Artiifcial Flower,45.90,0 %
Scandinavian 3 Hearts Napkin Ring,696.80,0.01 %
Tropical Holiday Purse,81.66,0 %
Blue Calculator Ruler,829.74,0.01 %
Glass Heart T-Light Holder,2870.15,0.03 %
